Sweep,Representation,tau,n_illicit,n_matched,seed,mmd2,perm_p,separable,Low_Confidence
BB: Label-Cond Separability Raw-vs-Prop,Raw,20,260,260,4,0.04677645899581484,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,20,260,260,5,0.046062552299756865,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,20,260,260,6,0.0424701027224299,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,20,260,260,7,0.04849992978534079,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,20,260,260,8,0.04297282943745029,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,20,260,260,9,0.045845614680197766,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,21,100,100,0,0.04716723700526737,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,21,100,100,1,0.03736707452973942,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,21,100,100,2,0.03873531157285526,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,21,100,100,3,0.042440650985054784,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,21,100,100,4,0.0476429223261019,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,21,100,100,5,0.03478263322680086,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,21,100,100,6,0.03341692634926119,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,21,100,100,7,0.038365054242054386,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,21,100,100,8,0.040734222047499546,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,21,100,100,9,0.045125862062227906,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,22,158,158,0,0.15329508651114465,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,22,158,158,1,0.15708614205364424,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,22,158,158,2,0.13062286806858436,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,22,158,158,3,0.1526476370848593,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,22,158,158,4,0.1546397407676776,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,22,158,158,5,0.16212956283783164,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,22,158,158,6,0.18968918719351158,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,22,158,158,7,0.15311570889269732,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,22,158,158,8,0.18342583815565772,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,22,158,158,9,0.16717265804533232,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,23,53,53,0,0.06388201408007776,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,23,53,53,1,0.06049000877268229,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,23,53,53,2,0.07283142051110891,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,23,53,53,3,0.07932589990300754,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,23,53,53,4,0.06678164594271929,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,23,53,53,5,0.10449633640123968,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,23,53,53,6,0.09641716836295111,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,23,53,53,7,0.078098282329508,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,23,53,53,8,0.0823964792836489,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,23,53,53,9,0.08797467213671051,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,24,137,137,0,0.07074004919717836,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,24,137,137,1,0.06735687545267055,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,24,137,137,2,0.08033718138318346,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,24,137,137,3,0.0864735735739619,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,24,137,137,4,0.08237148110592174,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,24,137,137,5,0.07486796483442171,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,24,137,137,6,0.09395641033044733,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,24,137,137,7,0.07473929972009485,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,24,137,137,8,0.09155922848246267,0.000999000999000999,1,0
